datemin,index
2015-01-05,000004.SZ
2015-01-05,000011.SZ
2015-01-05,000020.SZ
2015-01-05,000037.SZ
2015-01-05,000056.SZ
2015-01-05,000411.SZ
2015-01-05,000421.SZ
2015-01-05,000428.SZ
2015-01-05,000504.SZ
2015-01-05,000514.SZ
2015-01-05,000517.SZ
2015-01-05,000518.SZ
2015-01-05,000529.SZ
2015-01-05,000570.SZ
2015-01-05,000586.SZ
2015-01-05,000590.SZ
2015-01-05,000605.SZ
2015-01-05,000608.SZ
2015-01-05,000619.SZ
2015-01-05,000626.SZ
2015-01-05,000635.SZ
2015-01-05,000637.SZ
2015-01-05,000638.SZ
2015-01-05,000663.SZ
2015-01-05,000668.SZ
2015-01-05,000669.SZ
2015-01-05,000692.SZ
2015-01-05,000698.SZ
2015-01-05,000702.SZ
2015-01-05,000755.SZ
2015-01-05,000757.SZ
2015-01-05,000761.SZ
2015-01-05,000809.SZ
2015-01-05,000820.SZ
2015-01-05,000856.SZ
2015-01-05,000890.SZ
2015-01-05,000909.SZ
2015-01-05,000911.SZ
2015-01-05,000929.SZ
2015-01-05,000952.SZ
2015-01-05,000972.SZ
2015-01-05,000978.SZ
2015-01-05,000985.SZ
2015-01-05,000995.SZ
2015-01-05,002040.SZ
2015-01-05,002058.SZ
2015-01-05,002069.SZ
2015-01-05,002072.SZ
2015-01-05,002076.SZ
2015-01-05,002084.SZ
2015-01-05,002098.SZ
2015-01-05,002105.SZ
2015-01-05,002107.SZ
2015-01-05,002133.SZ
2015-01-05,002136.SZ
2015-01-05,002144.SZ
2015-01-05,002159.SZ
2015-01-05,002188.SZ
2015-01-05,002193.SZ
2015-01-05,002199.SZ
2015-01-05,002200.SZ
2015-01-05,002205.SZ
2015-01-05,002207.SZ
2015-01-05,002211.SZ
2015-01-05,002227.SZ
2015-01-05,002231.SZ
2015-01-05,002247.SZ
2015-01-05,002253.SZ
2015-01-05,002306.SZ
2015-01-05,002316.SZ
2015-01-05,002319.SZ
2015-01-05,002333.SZ
2015-01-05,002360.SZ
2015-01-05,002381.SZ
2015-01-05,002395.SZ
2015-01-05,002397.SZ
2015-01-05,002403.SZ
2015-01-05,002485.SZ
2015-01-05,002492.SZ
2015-01-05,002494.SZ
2015-01-05,002495.SZ
2015-01-05,002496.SZ
2015-01-05,002513.SZ
2015-01-05,002524.SZ
2015-01-05,002528.SZ
2015-01-05,002529.SZ
2015-01-05,002535.SZ
2015-01-05,002566.SZ
2015-01-05,002569.SZ
2015-01-05,002574.SZ
2015-01-05,002591.SZ
2015-01-05,002592.SZ
2015-01-05,002598.SZ
2015-01-05,002620.SZ
2015-01-05,002623.SZ
2015-01-05,002633.SZ
2015-01-05,002644.SZ
2015-01-05,002652.SZ
2015-01-05,002656.SZ
2015-01-05,002660.SZ
2015-01-05,002661.SZ
2015-01-05,002671.SZ
2015-01-05,002674.SZ
2015-01-05,002678.SZ
2015-01-05,002679.SZ
2015-01-05,002687.SZ
2015-01-05,002689.SZ
2015-01-05,002691.SZ
2015-01-05,002693.SZ
2015-01-05,002694.SZ
2015-01-05,002696.SZ
2015-01-05,002700.SZ
2015-01-05,002712.SZ
2015-01-05,002715.SZ
2015-01-05,002718.SZ
2015-01-05,002719.SZ
2015-01-05,002723.SZ
2015-01-05,002724.SZ
2015-01-05,002729.SZ
2015-01-05,002732.SZ
2015-02-17,002743.SZ
2015-03-19,002748.SZ
2015-05-19,002753.SZ
2015-06-11,002760.SZ
2015-06-10,002762.SZ
2015-06-10,002763.SZ
2015-06-12,002767.SZ
2017-03-24,002774.SZ
