,OPEN,HIGH,LOW,CLOSE,VOLUME,AMOUNT,CHG,PCT_CHG,PRE_CLOSE
159001.OF,100.0,100.001,99.999,100.001,6494940.0,,0.0010000000000047748,0.0010000000000047748,100.0
159003.OF,99.999,100.001,99.998,100.0,679297.0,,0.0,0.0,100.0
159005.OF,100.0,100.001,100.0,100.001,38304.0,,0.0010000000000047748,0.0010000000000047748,100.0
159100.OF,1.054,1.057,1.047,1.051,126334068.0,,0.018999999999999906,1.8410852713178203,1.032
159101.OF,0.965,0.976,0.96,0.976,483240213.0,,0.009000000000000008,0.9307135470527413,0.967
159102.OF,0.875,0.88,0.865,0.875,15613310.0,,0.0,0.0,0.875
159103.OF,0.842,0.879,0.835,0.873,20706501.0,,0.03200000000000003,3.8049940546967935,0.841
159105.OF,0.996,1.0,0.985,0.995,12101329.0,,-0.0010000000000000009,-0.10040160642570291,0.996
159106.OF,0.974,0.985,0.969,0.982,4667051.0,,0.010000000000000009,1.0288065843621408,0.972
159107.OF,0.855,0.878,0.848,0.873,18428016.0,,0.018000000000000016,2.105263157894739,0.855
159108.OF,0.972,0.986,0.962,0.986,15451366.0,,0.014000000000000012,1.440329218106997,0.972
159109.OF,0.945,0.952,0.942,0.951,8542418.0,,0.006000000000000005,0.6349206349206356,0.945
159110.OF,100.067,100.098,100.041,100.077,11685820.0,,0.010000000000005116,0.009993304485999497,100.067
159111.OF,100.139,100.18,100.133,100.18,38674470.0,,0.05900000000001171,0.058928696277515916,100.121
159112.OF,100.013,100.05,99.965,100.004,14150770.000000002,,0.012000000000000455,0.012000960076806599,99.992
159113.OF,100.182,100.182,100.107,100.14,24729780.0,,-0.045000000000001705,-0.04491690372810471,100.185
159115.OF,99.964,100.018,99.942,100.002,18610800.0,,0.030000000000001137,0.030008402352659884,99.972
159116.OF,100.028,100.083,100.006,100.074,36741260.0,,0.0,0.0,100.074
159117.OF,1.054,1.055,1.045,1.048,3355306.0,,-0.0020000000000000018,-0.19047619047619063,1.05
159118.OF,0.999,1.0,0.996,0.998,5148271.0,,-0.0010000000000000009,-0.10010010010010019,0.999
159119.OF,1.002,1.013,1.002,1.01,9580492.0,,0.008000000000000007,0.7984031936127751,1.002
159120.OF,0.947,0.957,0.939,0.957,14084545.000000002,,0.010000000000000009,1.0559662090813104,0.947
159121.OF,0.978,0.99,0.977,0.986,12938360.0,,0.015000000000000013,1.5447991761071076,0.971
159122.OF,0.97,0.99,0.966,0.987,2612900.0,,0.01200000000000001,1.2307692307692317,0.975
159123.OF,0.985,1.002,0.975,1.0,11184619.0,,0.019000000000000017,1.9367991845056083,0.981
159125.OF,0.933,0.942,0.929,0.942,20488325.0,,0.008999999999999897,0.9646302250803749,0.933
159126.OF,0.979,0.986,0.976,0.986,5674318.0,,0.007000000000000006,0.7150153217568954,0.979
159127.OF,0.972,0.974,0.965,0.968,13777653.0,,-0.0030000000000000027,-0.3089598352214215,0.971
159128.OF,0.949,0.962,0.948,0.962,47792156.0,,0.010000000000000009,1.0504201680672278,0.952
159129.OF,0.974,0.983,0.965,0.98,7697477.0,,0.01100000000000001,1.1351909184726532,0.969
159130.OF,0.995,1.0,0.986,0.994,11465333.0,,0.0,0.0,0.994
159131.OF,0.934,0.946,0.924,0.943,82333128.0,,0.009999999999999898,1.0718113612004179,0.933
159132.OF,,,,,,,,,
159133.OF,0.994,1.015,0.994,1.011,39821591.0,,0.013999999999999901,1.4042126379137314,0.997
159136.OF,,,,,,,,,
159137.OF,,,,,,,,,
159138.OF,,,,,,,,,
159139.OF,,,,,,,,,
159140.OF,,,,,,,,,
159141.OF,,,,,,,,,
159142.OF,,,,,,,,,
159150.OF,1.508,1.521,1.5,1.518,5034306.0,,0.015000000000000124,0.9980039920159764,1.503
159200.OF,99.913,99.949,99.899,99.948,43974424.0,,0.04099999999999682,0.041038165493906154,99.907
159201.OF,1.189,1.208,1.189,1.206,411606004.0,,0.016999999999999904,1.4297729184188313,1.189
159202.OF,1.128,1.145,1.122,1.145,139640000.0,,0.014000000000000012,1.237842617152963,1.131
159203.OF,1.319,1.319,1.302,1.316,633300.0,,0.0040000000000000036,0.3048780487804881,1.312
159205.OF,1.492,1.515,1.483,1.511,35880807.0,,0.019999999999999796,1.3413816230717501,1.491
159206.OF,1.239,1.296,1.23,1.295,293413542.0,,0.05499999999999994,4.435483870967737,1.24
159207.OF,1.144,1.153,1.142,1.151,14490500.0,,0.0040000000000000036,0.3487358326068007,1.147
159208.OF,1.165,1.196,1.157,1.194,24609524.0,,0.028999999999999915,2.489270386266087,1.165
159209.OF,1.14,1.159,1.139,1.156,21610100.0,,0.016000000000000014,1.403508771929826,1.14
159210.OF,1.036,1.053,1.036,1.053,27711100.0,,0.018999999999999906,1.8375241779497005,1.034
159211.OF,1.356,1.368,1.355,1.363,175700.0,,0.008000000000000007,0.5904059040590411,1.355
159212.OF,1.374,1.385,1.365,1.382,24311902.0,,0.011999999999999789,0.8759124087591086,1.37
159213.OF,1.152,1.169,1.143,1.169,15607903.0,,0.014000000000000012,1.2121212121212133,1.155
159215.OF,1.215,1.232,1.211,1.227,33848606.0,,0.01200000000000001,0.9876543209876552,1.215
159216.OF,1.393,1.406,1.389,1.402,2446800.0,,0.01200000000000001,0.8633093525179865,1.39
